	TargetID	DrugID	Highest_status	MOA
306	T62460	D01UAU	Phase 2	Inhibitor
307	T66693	D07CUR	Phase 2	Immunomodulator
308	T74002	D0YO4B	Phase 2	Antagonist
309	T84160	D08KTO	Phase 2	Antagonist
310	T86350	D06FUE	Phase 2	Antagonist
311	T87024	D03SHD	Phase 2	Inhibitor
312	T43415	D06WRF	Phase 2	Inhibitor
313	T13348	D9YG4P	Phase 2	Inhibitor
314	T15803	DB6XD8	Phase 2	Inhibitor
315	T17687	DZM65T	Phase 2	Inhibitor
316	T17986	DNM79H	Phase 2	Inhibitor
317	T22348	D4M8RS	Phase 2	Inhibitor
318	T22995	DXM30Y	Phase 2	Agonist
319	T23714	DS70MP	Phase 2	Activator
320	T25265	DNM79H	Phase 2	Inhibitor
321	T32240	DE09IO	Phase 2	Inhibitor
322	T51426	DX56JK	Phase 2	Agonist
323	T55273	DMEV15	Phase 2	.
324	T56697	DMF73Z	Phase 2	Inhibitor
325	T59631	DQM48O	Phase 2	Inhibitor
326	T60182	DLV0Z8	Phase 2	Antagonist
327	T60345	DI57MF	Phase 2	Inhibitor
328	T61698	DE09IO	Phase 2	Inhibitor
329	T67079	DE09IO	Phase 2	Inhibitor
330	T70977	D4USX5	Phase 2	Inhibitor
331	T71164	DI57MF	Phase 2	Inhibitor
332	T72545	D4M8RS	Phase 2	Inhibitor
333	T76233	DQM48O	Phase 2	Inhibitor
334	T79232	DNS58L	Phase 2	Antagonist
335	T80975	DN3Z5D	Phase 2	.
336	T82739	DA8W3Q	Phase 2	Inhibitor
337	T86836	DQ9OL5	Phase 2	.
338	T87166	DG68CL	Phase 2	Activator
339	T96721	DMEV15	Phase 2	.
340	T16802	DNET17	Phase 2	Inhibitor
341	T29036	DHB2K8	Phase 2	Inhibitor
342	T31072	DRT2P7	Phase 2	Replacement
343	T31072	D90UZW	Phase 2	Replacement
344	T32984	D3X2TH	Phase 2	Stabilizer
345	T65941	DR7EV6	Phase 2	.
346	T85076	D1RIW2	Phase 2	Inhibitor
347	T40474	D05BLN	Phase 2/3	Inhibitor
348	T07303	D05BLN	Phase 2/3	Inhibitor
349	T80975	D05BLN	Phase 2/3	Inhibitor
350	T60631	D05BLN	Phase 2/3	Inhibitor
351	T30081	D0Z9LP	Phase 2/3	Inhibitor
352	T36557	D03OSG	Phase 2/3	Agonist
353	T56365	D02CYL	Phase 2/3	.
354	T17502	D0GP1O	Phase 2/3	Inhibitor
355	T44771	DO5H6K	Phase 2/3	Inhibitor
356	T07485	DOST52	Phase 2/3	Inhibitor
357	T54789	DKH94Z	Phase 2/3	.
358	T96144	D0C3CZ	Phase 3	Modulator
359	T03818	D0JU5X	Phase 3	Antagonist
360	T21112	D0KE1F	Phase 3	Inhibitor
361	T20017	DFY58O	Phase 3	Inhibitor
362	T40874	DFYL51	Phase 3	Inhibitor
363	T80975	D0D7BX	Phase 3	Antagonist
364	T06841	D0A0MS	Phase 3	.
365	T11451	D0FM5M	Phase 3	Agonist
366	T23389	D0Y9HW	Phase 3	.
367	T59328	D0CR8H	Phase 3	.
368	T47101	D07PQJ	Phase 3	Inhibitor
369	T85605	D09WNK	Phase 3	Antagonist
370	T57011	D0P9BT	Phase 3	.
371	T51407	D00LNW	Phase 3	Inhibitor
372	T40332	D0FT4R	Phase 3	Inhibitor
373	T22839	D0FT4R	Phase 3	Inhibitor
374	T65755	D0L2UQ	Phase 3	Modulator
